"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY"
"6376183","07/07/2014 12:00:48 PM","LACT020493","BBOYCE","SRM59Y","Lactose.H2O","PCT_M-M","4.906608128"
"5922177","04/02/2014 07:59:09 AM","LACT020493","BJLEE","SRM59X","Lactose.H2O","PCT_M-M","4.880911602"
"5925842","05/02/2014 08:54:02 AM","LACT020493","BJLEE","SRM59X","Lactose.H2O","PCT_M-M","4.811400511"
"5943044","11/02/2014 09:15:32 AM","LACT020493","BJLEE","SRM59X","Lactose.H2O","PCT_M-M","4.737099031"
"5950760","13/02/2014 08:41:37 AM","LACT020493","BJLEE","SRM59X","Lactose.H2O","PCT_M-M","4.730675455"
"5954989","14/02/2014 08:25:48 AM","LACT020493","BJLEE","SRM59X","Lactose.H2O","PCT_M-M","4.700471571"
"6422750","24/07/2014 08:53:54 AM","LACT020493","BJLEE","SRM59Y","Lactose.H2O","PCT_M-M","4.774920361"
"6365961","03/07/2014 07:48:04 AM","LACT020493","HRAMADAN","SRM59Y","Lactose.H2O","PCT_M-M","4.978471317"
"6369457","04/07/2014 06:56:37 AM","LACT020493","HRAMADAN","SRM59Y","Lactose.H2O","PCT_M-M","4.924449191"
"6403475","17/07/2014 07:32:21 AM","LACT020493","HRAMADAN","SRM59Y","Lactose.H2O","PCT_M-M","5.06601517"
"5940898","10/02/2014 01:07:26 PM","LACT020493","JDSOUZA","SRM59X","Lactose.H2O","PCT_M-M","4.795793414"
"5922264","04/02/2014 08:07:49 AM","LACT020493","KLU","SRM59X","Lactose.H2O","PCT_M-M","4.699180023"
"5930004","06/02/2014 09:03:38 AM","LACT020493","KLU","SRM59X","Lactose.H2O","PCT_M-M","4.650234006"
"6362550","02/07/2014 09:17:15 AM","LACT020493","LLE","SRM59Y","Lactose.H2O","PCT_M-M","4.772246177"
"6400389","16/07/2014 09:39:40 AM","LACT020493","LLE","SRM59Y","Lactose.H2O","PCT_M-M","4.801305584"
"5933324","07/02/2014 08:03:46 AM","LACT020493","MBUDIANTO","SRM59X","Lactose.H2O","PCT_M-M","4.838565282"
"6406702","18/07/2014 07:42:29 AM","LACT020493","MDONAL","SRM59Y","Lactose.H2O","PCT_M-M","5.0369"
"6415286","22/07/2014 07:35:56 AM","LACT020493","MDONAL","SRM59Y","Lactose.H2O","PCT_M-M","4.867578739"
"6432659","28/07/2014 07:40:22 AM","LACT020493","MDONAL","SRM59Y","Lactose.H2O","PCT_M-M","5.023222906"
"6435816","29/07/2014 07:39:17 AM","LACT020493","MDONAL","SRM59Y","Lactose.H2O","PCT_M-M","4.88451986"
"5947031","12/02/2014 08:54:56 AM","LACT020493","MHO","SRM59X","Lactose.H2O","PCT_M-M","4.629964138"
"6355617","30/06/2014 08:59:22 AM","LACT020493","MHO","SRM59Y","Lactose.H2O","PCT_M-M","5.010131096"
"6377876","08/07/2014 07:49:05 AM","LACT020493","MHO","SRM59Y","Lactose.H2O","PCT_M-M","4.972960592"
"6385157","10/07/2014 08:53:05 AM","LACT020493","MHO","SRM59Y","Lactose.H2O","PCT_M-M","4.536401074"
"6412876","21/07/2014 08:45:10 AM","LACT020493","MHO","SRM59Y","Lactose.H2O","PCT_M-M","4.806643541"
"6419894","23/07/2014 10:40:10 AM","LACT020493","MHO","SRM59Y","Lactose.H2O","PCT_M-M","4.846341593"
