"","SAMPLING_POINT","REPORTED_NAME","UNITS","n","Mean","LCL","LWL","UWL","UCL"
"1","IRM001B_CL","Calcium","PCT_M-M",202,0.701058148915347,0.654629946900105,0.670106014238519,0.732010283592174,0.747486350930588
"2","IRM001B_CL","Copper","MG_P_KG",129,0.218105735196124,0.109513364247987,0.1457108212307,0.290500649161548,0.326698106144261
"3","IRM001B_CL","Iron","MG_P_KG",175,86.7047334467314,78.9785931269472,81.553973233542,91.8554936599209,94.4308737665156
"4","IRM001B_CL","Magnesium","PCT_M-M",165,0.0682263865445455,0.063895191618208,0.0653389232603205,0.0711138498287704,0.0725575814708829
"5","IRM001B_CL","Manganese","MG_P_KG",114,0.49583660865,0.44337259139392,0.460860597145947,0.530812620154054,0.54830062590608
"6","IRM001B_CL","Phosphorus","PCT_M-M",175,0.471852602930857,0.408373924662455,0.429533484085256,0.514171721776458,0.535331281199259
"7","IRM001B_CL","Potassium","PCT_M-M",170,0.686636005792353,0.639065532441774,0.654922356891967,0.718349654692739,0.734206479142932
"8","IRM001B_CL","Sodium","PCT_M-M",196,0.180197706103061,0.166566044241766,0.171109931528864,0.189285480677258,0.193829367964356
"9","IRM001B_CL","Sulphur","PCT_M-M",13,0.202069842846154,0.186872458502938,0.19193825328401,0.212201432408298,0.21726722718937
"10","IRM001B_CL","Zinc","MG_P_KG",170,37.5803821142353,35.369464636619,36.1064371291578,39.0543270993128,39.7912995918515
"11","IRM001B_MW","Calcium","PCT_M-M",21,0.683124374533333,0.635139126862687,0.651134209419569,0.715114539647097,0.731109622203979
"12","IRM001B_MW","Copper","MG_P_KG",17,0.180577963660588,0.0560980364845125,0.0975913455432044,0.263564581777972,0.305057890836664
"13","IRM001B_MW","Iron","MG_P_KG",20,85.23706589915,79.5027567780612,81.4141931517575,89.0599386465425,90.9713750202388
"14","IRM001B_MW","Magnesium","PCT_M-M",21,0.0654958596085714,0.0619606669092698,0.0631390644757037,0.0678526547414392,0.069031052307873
"15","IRM001B_MW","Manganese","MG_P_KG",18,0.487560931205556,0.450935889806291,0.463144236939379,0.511977625471732,0.52418597260482
"16","IRM001B_MW","Phosphorus","PCT_M-M",20,0.476835195755,0.393593743511688,0.421340894259459,0.532329497250541,0.560076647998312
"17","IRM001B_MW","Potassium","PCT_M-M",18,0.658536845811111,0.623993038150905,0.635507640704307,0.681566050917915,0.693080653471318
"18","IRM001B_MW","Sodium","PCT_M-M",19,0.174796364678947,0.162025646964568,0.166282552869361,0.183310176488533,0.187567082393326
"19","IRM001B_MW","Sulphur","PCT_M-M",1,0.2067236057,NA,NA,NA,NA
"20","IRM001B_MW","Zinc","MG_P_KG",19,36.212705131,33.7817918211127,34.5920962577418,37.8333140042582,38.6436184408873
