"","SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","UNITS","ENTRY","REPORTABLE","NAME","z_score"
"1",13983451,2020-04-15 09:17:45,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.05966,"T","ICPM01-20-0247",-14.9528867078293
"2",13988516,2020-04-16 05:52:09,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.05619,"T","ICPM01-20-0248",-14.9563567078293
"3",13989512,2020-04-16 09:15:13,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05578,"T","ICPM01-20-0249",-14.9567667078293
"4",13992875,2020-04-16 16:56:39,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05333,"T","ICPM01-20-0252",-14.9592167078293
"5",13994384,2020-04-17 06:37:01,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.0525,"T","ICPM01-20-0255",-14.9600467078293
"6",13994391,2020-04-17 06:39:26,"ICPM010611","CYCHUNG","SRM45G_CL","Cadmium","MG_P_KG",0.05457,"T","ICPM01-20-0254",-14.9579767078293
"7",13995325,2020-04-17 09:21:43,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05116,"T","ICPM01-20-0253",-14.9613867078293
"8",13998604,2020-04-17 16:52:41,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.05055,"T","ICPM01-20-0256",-14.9619967078293
"9",14002332,2020-04-20 05:51:16,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05323,"T","ICPM01-20-0260",-14.9593167078293
"10",14002843,2020-04-20 09:42:52,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05403,"T","ICPM01-20-0261",-14.9585167078293
"11",14007559,2020-04-21 09:19:56,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05348,"T","ICPM01-20-0262",-14.9590667078293
"12",14012479,2020-04-22 06:04:46,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05678,"T","ICPM01-20-0264",-14.9557667078293
"13",14016049,2020-04-22 14:43:37,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.0569,"T","ICPM01-20-0265",-14.9556467078293
"14",14016952,2020-04-22 16:30:15,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.06205,"T","ICPM01-20-0267",-14.9504967078293
"15",14017621,2020-04-22 18:35:19,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.05925,"T","ICPM01-20-0266",-14.9532967078293
