SAMPLE_NUMBER,LOGIN_DATE,ANALYSIS,ASSIGNED_OPERATOR,SAMPLING_POINT,REPORTED_NAME,REPORTED_UNITS,ENTRY
6319006,17/06/2014 20:15,DIET020393,JDSOUZA,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.89
6258659,28/05/2014 13:17,DIET020393,JDSOUZA,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.89
6250186,26/05/2014 9:34,DIET020393,LLE,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.34
6245806,23/05/2014 14:55,DIET020393,LGONG,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.47
6215289,14/05/2014 14:43,DIET020393,JDSOUZA,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.56
6111287,8/04/2014 13:46,DIET020393,JDSOUZA,SRM55M,Dietary Fibre (AOAC),PCT_M-M,15.29
6104486,5/04/2014 9:21,DIET020393,KLU,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.67
6085015,30/03/2014 10:28,DIET020393,FNUNES,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.53
6065296,24/03/2014 8:51,DIET020393,BTAN,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.856
6060330,21/03/2014 10:25,DIET020393,BBOYCE,SRM55M,Dietary Fibre (AOAC),PCT_M-M,13.69
6034779,13/03/2014 11:00,DIET020393,FNUNES,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.3
5992346,26/02/2014 15:11,DIET020393,LGONG,SRM55M,Dietary Fibre (AOAC),PCT_M-M,13.84
5949375,12/02/2014 14:39,DIET020393,LGONG,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.82
5924375,4/02/2014 14:21,DIET020393,LGONG,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.41
5856155,13/01/2014 11:14,DIET020393,BJLEE,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.58
5844374,8/01/2014 17:34,DIET020393,BBOYCE,SRM55M,Dietary Fibre (AOAC),PCT_M-M,13.8
6375543,7/07/2014 9:08,DIET020393,MDONAL,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.7
6371335,4/07/2014 12:51,DIET020393,JDSOUZA,SRM55M,Dietary Fibre (AOAC),PCT_M-M,12.9
6359267,1/07/2014 10:56,DIET020393,MDONAL,SRM55N,Dietary Fibre (AOAC),PCT_M-M,15.3
6244384,23/05/2014 10:51,DIET020393,KLU,SRM55M,Dietary Fibre (AOAC),PCT_M-M,12.14
6984415,13/01/2015 9:25,DIET020393,KLU,SRM55N,Dietary Fibre (AOAC),PCT_M-M,16.09
6364598,2/07/2014 15:08,DIET020393,JDSOUZA,SRM55N,Dietary Fibre (AOAC),PCT_M-M,13.46
6364597,2/07/2014 15:08,DIET020393,JDSOUZA,SRM55N,Dietary Fibre (AOAC),PCT_M-M,11.97
6361640,1/07/2014 19:24,DIET020393,BJLEE,SRM55N,Dietary Fibre (AOAC),PCT_M-M,18.2
6361639,1/07/2014 19:23,DIET020393,BTAN,SRM55N,Dietary Fibre (AOAC),PCT_M-M,15.69
6348722,26/06/2014 20:37,DIET020393,MHO,SRM55N,Dietary Fibre (AOAC),PCT_M-M,15.94
6415555,22/07/2014 8:46,DIET020393,MHO,SRM55N,Dietary Fibre (AOAC),PCT_M-M,14.72
6434775,28/07/2014 17:00,DIET020393,BBOYCE,SRM55N,Dietary Fibre (AOAC),PCT_M-M,15.54
6981671,12/01/2015 11:08,DIET020393,MHO,SRM55N,Dietary Fibre (AOAC),PCT_M-M,15.88
7037710,29/01/2015 13:56,DIET020393,JDSOUZA,SRM55N,Dietary Fibre (AOAC),PCT_M-M,16.56
7047420,2/02/2015 10:17,DIET020393,MHO,SRM55N,Dietary Fibre (AOAC),,
7047420,2/02/2015 10:17,DIET020393,MHO,SRM55N,Dietary Fibre - Soluble,,
7047420,2/02/2015 10:17,DIET020393,MHO,SRM55N,Dietary Fibre - Insoluble,,
7047420,2/02/2015 10:17,DIET020393,MHO,SRM55N,Dietary Fibre (AOAC),,
7047420,2/02/2015 10:17,DIET020393,MHO,SRM55N,Dietary Fibre - Soluble,,
7047420,2/02/2015 10:17,DIET020393,MHO,SRM55N,Dietary Fibre - Insoluble,,
7047420,2/02/2015 10:17,DIET020393,MHO,SRM55N,Dietary Fibre (AOAC),,
6563341,7/09/2014 8:59,DIET020393,HRAMADAN,SRM55N,Dietary Fibre (AOAC),PCT_M-M,15.71
6677153,10/10/2014 14:45,DIET020393,JDSOUZA,SRM55N,Dietary Fibre (AOAC),PCT_M-M,17.1
6822054,21/11/2014 13:27,DIET020393,JDSOUZA,SRM55N,Dietary Fibre (AOAC),PCT_M-M,16.27
6876570,7/12/2014 7:57,DIET020393,MDONAL,SRM55N,Dietary Fibre (AOAC),PCT_M-M,16.47
5831983,4/01/2014 7:57,DIET020393,HRAMADAN,SRM55M,Dietary Fibre (AOAC),PCT_M-M,13.67
5979621,21/02/2014 16:01,DIET020393,LGONG,SRM55M,Dietary Fibre (AOAC),PCT_M-M,14.15
6082271,28/03/2014 14:49,DIET020393,,SRM55L,Dietary Fibre - Insoluble,,
