Sample,Method,Control,Analyte,Units,Result,Outlier
4698463,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0533,No
4698463,OES,SRM75F_CL,Sodium,PCT_M-M,0.1896,No
4698463,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3502,No
4698463,OES,SRM75F_CL,Calcium,PCT_M-M,0.5274,No
4698463,OES,SRM75F_CL,Copper,MG_P_KG,4.1336,No
4698463,OES,SRM75F_CL,Zinc,MG_P_KG,41.9571,No
4698463,OES,SRM75F_CL,Iron,MG_P_KG,87.9109,No
4698463,OES,SRM75F_CL,Potassium,PCT_M-M,0.7549,No
4699463,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0519,No
4699463,OES,SRM75F_CL,Sodium,PCT_M-M,0.1993,No
4699463,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3448,No
4699463,OES,SRM75F_CL,Calcium,PCT_M-M,0.5255,No
4699463,OES,SRM75F_CL,Copper,MG_P_KG,4.162,No
4699463,OES,SRM75F_CL,Zinc,MG_P_KG,39.9251,No
4699463,OES,SRM75F_CL,Iron,MG_P_KG,85.6254,No
4699463,OES,SRM75F_CL,Potassium,PCT_M-M,0.7733,No
4701826,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0527,No
4701826,OES,SRM75F_CL,Sodium,PCT_M-M,0.1931,No
4701826,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3473,No
4701826,OES,SRM75F_CL,Calcium,PCT_M-M,0.5224,No
4701826,OES,SRM75F_CL,Copper,MG_P_KG,4.0425,No
4701826,OES,SRM75F_CL,Zinc,MG_P_KG,42.2098,No
4701826,OES,SRM75F_CL,Iron,MG_P_KG,88.5317,No
4701826,OES,SRM75F_CL,Potassium,PCT_M-M,0.7421,No
4705654,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0506,No
4705654,OES,SRM75F_CL,Sodium,PCT_M-M,0.1784,No
4705654,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3375,No
4705654,OES,SRM75F_CL,Calcium,PCT_M-M,0.5049,No
4705654,OES,SRM75F_CL,Copper,MG_P_KG,3.8188,No
4705654,OES,SRM75F_CL,Zinc,MG_P_KG,39.7152,No
4705654,OES,SRM75F_CL,Iron,MG_P_KG,84.5714,No
4705654,OES,SRM75F_CL,Potassium,PCT_M-M,0.7116,No
4709981,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0543,No
