SAMPLE_NUMBER,LOGIN_DATE,ANALYSIS,ASSIGNED_OPERATOR,PRODUCT_GRADE,REPORTED_NAME,ENTRY,REPORTED_UNITS,TEXT_ID
4698430,2/01/2013 8:21,PVAL050204,MMITCHELL,SRM,Peroxide Value,6.284366991,PCT_M-M,QC-SRM21I-4698430
4698439,2/01/2013 8:23,PVAL050204,MMITCHELL,SRM,Peroxide Value,6.860518033,PCT_M-M,QC-SRM21I-4698439
4701218,3/01/2013 8:36,PVAL050204,MMITCHELL,SRM,Peroxide Value,7.948270334,PCT_M-M,QC-SRM21I-4701218
4704510,4/01/2013 7:54,PVAL050204,MMITCHELL,SRM,Peroxide Value,5.051743834,PCT_M-M,QC-SRM21I-4704510
4715890,9/01/2013 8:28,PVAL050204,MMITCHELL,SRM,Peroxide Value,6.930056441,PCT_M-M,QC-SRM21I-4715890
4724078,11/01/2013 10:54,PVAL050204,MMITCHELL,SRM,Peroxide Value,6.812371829,PCT_M-M,QC-SRM21I-4724078
4732593,15/01/2013 10:02,PVAL050204,GSTEWART,SRM,Peroxide Value,7.960899446,PCT_M-M,QC-SRM21I-4732593
4736920,16/01/2013 10:59,PVAL050204,BCOAD,SRM,Peroxide Value,7.750922631,PCT_M-M,QC-SRM21I-4736920
4742522,18/01/2013 6:27,PVAL050204,BCOAD,SRM,Peroxide Value,7.874608764,PCT_M-M,QC-SRM21I-4742522
4749907,21/01/2013 12:01,PVAL050204,BCOAD,SRM,Peroxide Value,8.484593907,PCT_M-M,QC-SRM21I-4749907
4752963,22/01/2013 11:28,PVAL050204,BCOAD,SRM,Peroxide Value,8.105110288,PCT_M-M,QC-SRM21I-4752963
4773102,30/01/2013 8:07,PVAL050204,MMITCHELL,SRM,Peroxide Value,5.871509148,PCT_M-M,QC-SRM21I-4773102
4773114,30/01/2013 8:07,PVAL050204,MMITCHELL,SRM,Peroxide Value,2.092178454,MEQ_02_KGF,QC-SRM21J-4773114
4773116,30/01/2013 8:08,PVAL050204,MMITCHELL,SRM,Peroxide Value,2.344755496,MEQ_02_KGF,QC-SRM21J-4773116
4778431,31/01/2013 12:10,PVAL050204,BCOAD,SRM,Peroxide Value,7.505402328,PCT_M-M,QC-SRM21I-4778431
4778530,31/01/2013 12:24,PVAL050204,BCOAD,SRM,Peroxide Value,1.713665944,MEQ_02_KGF,QC-SRM21J-4778530
4778540,31/01/2013 12:26,PVAL050204,BCOAD,SRM,Peroxide Value,1.787185156,MEQ_02_KGF,QC-SRM21J-4778540
4786325,4/02/2013 8:12,PVAL050204,MMITCHELL,SRM,Peroxide Value,6.356304801,PCT_M-M,QC-SRM21I-4786325
4786329,4/02/2013 8:13,PVAL050204,MMITCHELL,SRM,Peroxide Value,1.605749487,MEQ_02_KGF,QC-SRM21J-4786329
4791729,5/02/2013 14:04,PVAL050204,BCOAD,SRM,Peroxide Value,1.242741936,MEQ_02_KGF,QC-SRM21J-4791729
4793232,6/02/2013 7:55,PVAL050204,MMITCHELL,SRM,Peroxide Value,3.2097399,MEQ_02_KGF,QC-SRM21J-4793232
4795801,6/02/2013 15:53,PVAL050204,MMITCHELL,SRM,Peroxide Value,7.841990566,PCT_M-M,QC-SRM21I-4795801
4798139,7/02/2013 11:45,PVAL050204,MMITCHELL,SRM,Peroxide Value,6.189168338,PCT_M-M,QC-SRM21I-4798139
4798153,7/02/2013 11:46,PVAL050204,MMITCHELL,SRM,Peroxide Value,2.617458587,MEQ_02_KGF,QC-SRM21J-4798153
4806160,11/02/2013 8:24,PVAL050204,MMITCHELL,SRM,Peroxide Value,5.566720692,PCT_M-M,QC-SRM21I-4806160
4806166,11/02/2013 8:28,PVAL050204,MMITCHELL,SRM,Peroxide Value,5.567895879,PCT_M-M,QC-SRM21I-4806166
4806168,11/02/2013 8:28,PVAL050204,MMITCHELL,SRM,Peroxide Value,2.813455658,MEQ_02_KGF,QC-SRM21J-4806168
4809603,12/02/2013 9:05,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.897346325,MEQ_02_KGF,QC-SRM21J-4809603
4813313,13/02/2013 9:05,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.749881122,MEQ_02_KGF,QC-SRM21J-4813313
4817618,14/02/2013 9:11,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.57347973,MEQ_02_KGF,QC-SRM21J-4817618
4821106,15/02/2013 7:54,PVAL050204,MMITCHELL,SRM,Peroxide Value,2.295644425,MEQ_02_KGF,QC-SRM21J-4821106
4821117,15/02/2013 7:56,PVAL050204,MMITCHELL,SRM,Peroxide Value,1.774067565,MEQ_02_KGF,QC-SRM21J-4821117
4821119,15/02/2013 7:56,PVAL050204,MMITCHELL,SRM,Peroxide Value,7.190639296,PCT_M-M,QC-SRM21I-4821119
4828186,18/02/2013 12:39,PVAL050204,BCOAD,SRM,Peroxide Value,2.727131954,MEQ_02_KGF,QC-SRM21J-4828186
4830987,19/02/2013 11:20,PVAL050204,BCOAD,SRM,Peroxide Value,2.261993253,MEQ_02_KGF,QC-SRM21J-4830987
4834317,20/02/2013 8:48,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.56362473,MEQ_02_KGF,QC-SRM21J-4834317
4838716,21/02/2013 8:59,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.538634997,MEQ_02_KGF,QC-SRM21J-4838716
4843249,22/02/2013 8:44,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.709573024,MEQ_02_KGF,QC-SRM21J-4843249
4849811,25/02/2013 8:41,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.33254185,MEQ_02_KGF,QC-SRM21J-4849811
4857111,27/02/2013 8:50,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.425619835,MEQ_02_KGF,QC-SRM21J-4857111
4865717,1/03/2013 8:55,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.587927804,MEQ_02_KGF,QC-SRM21J-4865717
4872581,4/03/2013 8:44,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.041079512,MEQ_02_KGF,QC-SRM21J-4872581
4875670,5/03/2013 8:44,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.762827337,MEQ_02_KGF,QC-SRM21J-4875670
4880726,6/03/2013 11:12,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.681935069,MEQ_02_KGF,QC-SRM21J-4880726
4883604,7/03/2013 8:44,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.703262795,MEQ_02_KGF,QC-SRM21J-4883604
4896401,12/03/2013 9:02,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,3.226077931,MEQ_02_KGF,QC-SRM21J-4896401
4904695,14/03/2013 8:55,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.744577492,MEQ_02_KGF,QC-SRM21J-4904695
4909281,15/03/2013 8:33,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.039541305,MEQ_02_KGF,QC-SRM21J-4909281
4919677,19/03/2013 8:59,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.683840621,MEQ_02_KGF,QC-SRM21J-4919677
