"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY","DATE_STARTED"
"6956851","03/01/2015 06:43:35 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","56.093595644","03/01/2015 01:53:48 PM"
"6961704","06/01/2015 06:26:55 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","56.1844098","06/01/2015 11:58:36 AM"
"6969958","08/01/2015 07:18:41 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","56.183648925","09/01/2015 02:29:22 PM"
"6984107","13/01/2015 08:11:29 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","56.247826791","13/01/2015 12:54:14 PM"
"6988354","14/01/2015 08:11:12 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","55.792498889","14/01/2015 02:27:47 PM"
"6996288","16/01/2015 07:57:09 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","56.202577233","16/01/2015 09:04:34 AM"
"7006902","20/01/2015 08:52:20 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","56.064204255","20/01/2015 11:12:40 AM"
"7010906","21/01/2015 07:15:40 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.957950051","21/01/2015 07:56:26 AM"
"7011114","21/01/2015 08:14:50 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","56.390322224","21/01/2015 02:29:52 PM"
"7015211","22/01/2015 07:10:42 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.002081422","22/01/2015 07:46:02 AM"
"7019054","23/01/2015 06:37:40 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","55.898487969","27/01/2015 07:13:48 AM"
"7027464","27/01/2015 07:16:41 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","55.756768575","27/01/2015 01:25:34 PM"
"7039369","30/01/2015 07:34:18 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","55.50335454","30/01/2015 02:33:44 PM"
"7049763","03/02/2015 06:19:29 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.257754462","03/02/2015 10:25:09 AM"
"7054113","04/02/2015 06:30:08 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.992340156","04/02/2015 11:46:43 AM"
"7066724","07/02/2015 06:49:39 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.888371909","07/02/2015 01:51:35 PM"
"7074010","10/02/2015 09:49:40 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","56.040856492","10/02/2015 02:48:20 PM"
"7087584","13/02/2015 09:15:03 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","55.843676765","13/02/2015 01:34:38 PM"
"7102467","18/02/2015 06:26:55 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.632168471","18/02/2015 07:33:59 AM"
"7115844","21/02/2015 06:59:15 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","56.036915863","21/02/2015 11:49:43 AM"
"7130325","26/02/2015 08:24:22 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","56.158321558","26/02/2015 03:45:42 PM"
"7134596","27/02/2015 07:51:37 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","55.610246726","27/02/2015 08:41:38 AM"
"7141707","02/03/2015 06:30:32 AM","LACT010493","IBOTROUS","SRM11E","Lactose Monohydrate","PCT_M-M","56.864640839","02/03/2015 07:17:51 AM"
