SAMPLE_NUMBER,LOGIN_DATE,ANALYSIS,ASSIGNED_OPERATOR,SAMPLING_POINT,REPORTED_NAME,REPORTED_UNITS,ENTRY
5826617,2/01/14 8:03,LACT020493,BTAN,SRM59X,Lactose.H2O,PCT_M-M,4.766545955
5829798,3/01/14 10:09,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.832940573
5834890,6/01/14 9:27,LACT020493,MHO,SRM59X,Lactose.H2O,PCT_M-M,4.794216207
5838222,7/01/14 10:05,LACT020493,MHO,SRM59X,Lactose.H2O,PCT_M-M,4.713694934
5841415,8/01/14 8:57,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,4.718084876
5848984,10/01/14 8:52,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.827150868
5850779,10/01/14 13:08,LACT020493,LGONG,SRM59X,Lactose.H2O,PCT_M-M,4.773348599
5855318,13/01/14 8:43,LACT020493,MBUDIANTO,SRM59X,Lactose.H2O,PCT_M-M,4.725388638
5858406,14/01/14 7:24,LACT020493,MDONAL,SRM59X,Lactose.H2O,PCT_M-M,4.86188532
5862239,15/01/14 8:13,LACT020493,MHO,SRM59X,Lactose.H2O,PCT_M-M,4.845597206
5866744,16/01/14 9:45,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,4.660591467
5870599,17/01/14 9:15,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.825413362
5877573,20/01/14 9:23,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,4.593470234
5881704,21/01/14 10:14,LACT020493,LLE,SRM59X,Lactose.H2O,PCT_M-M,4.643825554
5885330,22/01/14 9:34,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,4.765764865
5889290,23/01/14 9:17,LACT020493,LLE,SRM59X,Lactose.H2O,PCT_M-M,3.371040761
5893824,24/01/14 9:29,LACT020493,LLE,SRM59X,Lactose.H2O,PCT_M-M,4.6679093
5901249,28/01/14 8:59,LACT020493,LLE,SRM59X,Lactose.H2O,PCT_M-M,4.882021047
5904209,29/01/14 8:08,LACT020493,BTAN,SRM59X,Lactose.H2O,PCT_M-M,4.784392801
5907968,30/01/14 7:24,LACT020493,BTAN,SRM59X,Lactose.H2O,PCT_M-M,4.808524903
5912773,31/01/14 8:08,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.938009256
5922177,4/02/14 7:59,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,4.956608128
5922264,4/02/14 8:07,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.699180023
5925842,5/02/14 8:54,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,5.006608128
5930004,6/02/14 9:03,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.650234006
5933324,7/02/14 8:03,LACT020493,MBUDIANTO,SRM59X,Lactose.H2O,PCT_M-M,4.838565282
5940898,10/02/14 13:07,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.795793414
5943044,11/02/14 9:15,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,5.056608128
5947031,12/02/14 8:54,LACT020493,MHO,SRM59X,Lactose.H2O,PCT_M-M,4.629964138
5950760,13/02/14 8:41,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,5.106608128
5954989,14/02/14 8:25,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,5.156608128
5959576,15/02/14 11:24,LACT020493,MDONAL,SRM59X,Lactose.H2O,PCT_M-M,4.679894138
5962496,17/02/14 13:07,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.775649701
5966741,18/02/14 13:16,LACT020493,LGONG,SRM59X,Lactose.H2O,PCT_M-M,4.858869411
5970169,19/02/14 11:59,LACT020493,BBOYCE,SRM59X,Lactose.H2O,PCT_M-M,4.687461482
5976682,21/02/14 9:11,LACT020493,MBUDIANTO,SRM59X,Lactose.H2O,PCT_M-M,4.782379992
5984499,24/02/14 13:18,LACT020493,LGONG,SRM59X,Lactose.H2O,PCT_M-M,4.72372456
5986601,25/02/14 9:59,LACT020493,MBUDIANTO,SRM59X,Lactose.H2O,PCT_M-M,4.855562026
5990145,26/02/14 9:43,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.845748177
5991749,26/02/14 13:30,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.704364991
5993848,27/02/14 8:42,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.852923231
5997882,28/02/14 9:09,LACT020493,MBUDIANTO,SRM59X,Lactose.H2O,PCT_M-M,4.688091043
6005418,3/03/14 13:07,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.798315413
6007206,4/03/14 8:47,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,4.845816203
6008621,4/03/14 13:04,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.756958133
6012614,5/03/14 12:57,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.785728956
6014653,6/03/14 8:45,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,4.634314443
6025679,11/03/14 7:44,LACT020493,MDONAL,SRM59X,Lactose.H2O,PCT_M-M,4.928151931
6025849,11/03/14 8:28,LACT020493,MDONAL,SRM59Y,Lactose.H2O,PCT_M-M,5.014475885
6031461,12/03/14 13:14,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.860130577
6031471,12/03/14 13:19,LACT020493,JDSOUZA,SRM59Y,Lactose.H2O,PCT_M-M,4.839209511
6033821,13/03/14 8:38,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.69595503
6033825,13/03/14 8:41,LACT020493,KLU,SRM59Y,Lactose.H2O,PCT_M-M,4.720722085
6035629,13/03/14 13:23,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.79683402
6035668,13/03/14 13:26,LACT020493,JDSOUZA,SRM59Y,Lactose.H2O,PCT_M-M,4.881120371
6037597,14/03/14 8:07,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.773205587
6037637,14/03/14 8:10,LACT020493,KLU,SRM59Y,Lactose.H2O,PCT_M-M,4.836149555
6039549,14/03/14 12:54,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.626481591
6039560,14/03/14 12:58,LACT020493,JDSOUZA,SRM59Y,Lactose.H2O,PCT_M-M,4.740463477
6044330,17/03/14 8:30,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,4.653533947
6044338,17/03/14 8:32,LACT020493,BJLEE,SRM59Y,Lactose.H2O,PCT_M-M,4.59807625
6047883,18/03/14 8:31,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.890304437
6047893,18/03/14 8:34,LACT020493,KLU,SRM59Y,Lactose.H2O,PCT_M-M,4.8935803
6053610,19/03/14 13:20,LACT020493,BBOYCE,SRM59X,Lactose.H2O,PCT_M-M,4.853384456
6053644,19/03/14 13:22,LACT020493,BBOYCE,SRM59Y,Lactose.H2O,PCT_M-M,4.955895622
6055759,20/03/14 8:30,LACT020493,BTAN,SRM59X,Lactose.H2O,PCT_M-M,4.809477576
6055927,20/03/14 9:00,LACT020493,BTAN,SRM59Y,Lactose.H2O,PCT_M-M,4.651492514
6065297,24/03/14 8:51,LACT020493,BJLEE,SRM59X,Lactose.H2O,PCT_M-M,4.65187743
6065337,24/03/14 8:55,LACT020493,BJLEE,SRM59Y,Lactose.H2O,PCT_M-M,4.833588443
6068812,25/03/14 9:59,LACT020493,KLU,SRM59X,Lactose.H2O,PCT_M-M,4.820533954
6068840,25/03/14 10:01,LACT020493,KLU,SRM59Y,Lactose.H2O,PCT_M-M,4.996627208
6069855,25/03/14 13:12,LACT020493,JDSOUZA,SRM59X,Lactose.H2O,PCT_M-M,4.852222172
6069869,25/03/14 13:15,LACT020493,JDSOUZA,SRM59Y,Lactose.H2O,PCT_M-M,4.833397685
6072092,26/03/14 8:00,LACT020493,BTAN,SRM59X,Lactose.H2O,PCT_M-M,4.62259038
