SAMPLE_NUMBER,LOGIN_DATE,ANALYSIS,ASSIGNED_OPERATOR,SAMPLING_POINT,REPORTED_NAME,REPORTED_UNITS,ENTRY
6955337,2/01/15 9:20,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.287378061
6966512,7/01/15 9:20,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.843469591
6974549,9/01/15 9:03,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.628691983
6981042,12/01/15 9:20,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,4.226860616
6988891,14/01/15 9:51,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.931491823
6996753,16/01/15 9:18,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.996403237
7007191,20/01/15 9:37,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,3.601789709
7015880,22/01/15 9:20,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.895552224
7019630,23/01/15 9:16,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.775795035
7028289,27/01/15 10:32,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,4.262638349
7035574,29/01/15 9:10,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,4.103994422
7047189,2/02/15 9:23,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.833316728
7050393,3/02/15 9:01,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.3
7058880,5/02/15 9:44,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,4.130456498
7063042,6/02/15 9:16,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.87
7073913,10/02/15 9:39,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,3.833498513
7078594,11/02/15 10:02,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,4.074922786
7083111,12/02/15 9:11,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.23611666
7095056,16/02/15 9:22,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,4.085457271
7103328,18/02/15 9:31,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,3.752737408
7112001,20/02/15 9:14,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,4.191631716
7119130,23/02/15 10:06,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.974320544
7126451,25/02/15 9:33,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.791812282
7127742,25/02/15 12:01,Vitafast,NBROOKER,IRM001A,Vitamin B12,UG_P_100G,4.924204648
7138767,28/02/15 9:13,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,3.965397236
7146276,3/03/15 9:32,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,4.10676797
7150541,4/03/15 9:36,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.667598881
7155459,5/03/15 9:15,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.770393952
7163661,7/03/15 8:07,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,3.330683625
7168563,10/03/15 9:48,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,4.056782965
7172437,11/03/15 9:17,Vitafast,JPAN,IRM001A,Vitamin B12,UG_P_100G,3.701395813
7181362,13/03/15 9:12,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.693437219
7188543,16/03/15 9:50,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.551476457
7196650,18/03/15 9:24,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,4.589463221
7209110,21/03/15 8:39,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,3.678521618
7220482,25/03/15 9:38,Vitafast,JWANG,IRM001A,Vitamin B12,UG_P_100G,3.763736264
7229301,27/03/15 9:37,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,3.800279469
7236584,30/03/15 11:22,Vitafast,JPAN,IRM001A,Vitamin B12,UG_P_100G,3.721979766
7244569,1/04/15 8:50,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,4.983015286
7260065,7/04/15 9:46,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,4.011761188
7260490,7/04/15 10:35,Vitafast,MKALSI_G,IRM001A,Vitamin B12,UG_P_100G,3.771060456
