"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY"
"6977587","09/01/2015 05:24:58 PM","VIB2030195","SGURRALA","SRM26D","Vitamin B2","MG_P_100G","0.2318324452"
"6984432","13/01/2015 09:29:02 AM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.25"
"7006923","20/01/2015 09:09:59 AM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.2484926004"
"7029999","27/01/2015 04:07:11 PM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.25"
"7051881","03/02/2015 11:45:04 AM","VIB2030195","SGURRALA","SRM26D","Vitamin B2","MG_P_100G","0.2207212705"
"7081744","11/02/2015 04:50:24 PM","VIB2030195","MXU","SRM26D","Vitamin B2","MG_P_100G","0.2299820558"
"7088342","13/02/2015 10:26:18 AM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.25"
"7105618","18/02/2015 03:17:07 PM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.2527207219"
"7137203","27/02/2015 02:52:33 PM","VIB2030195","JTANIWAN","SRM26D","Vitamin B2","MG_P_100G","0.2495549352"
"7157270","05/03/2015 01:20:23 PM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.242113183"
"7184067","13/03/2015 04:50:08 PM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.2542211042"
"7216197","24/03/2015 11:11:13 AM","VIB2030195","SGURRALA","SRM26D","Vitamin B2","MG_P_100G","0.246706226"
"7250697","02/04/2015 11:54:35 AM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.2411578267"
"7281842","13/04/2015 03:48:36 PM","VIB2030195","SGURRALA","SRM26D","Vitamin B2","MG_P_100G","0.2581916783"
"7323605","24/04/2015 09:57:40 AM","VIB2030195","SGURRALA","SRM26D","Vitamin B2","MG_P_100G","0.2497503266"
"7357888","05/05/2015 09:57:18 AM","VIB2030195","SGURRALA","SRM26D","Vitamin B2","MG_P_100G","0.2479777402"
"7392121","14/05/2015 03:09:44 PM","VIB2030195","SGURRALA","SRM26D","Vitamin B2","MG_P_100G","0.25"
"7402132","18/05/2015 12:32:44 PM","VIB2030195","SGURRALA","SRM26D","Vitamin B2","MG_P_100G","0.2462166827"
"7423509","25/05/2015 08:27:29 AM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2521667301"
"7447278","02/06/2015 06:31:54 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2595373608"
"7465331","09/06/2015 06:28:27 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.256814008"
"7483124","14/06/2015 03:03:47 PM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.253230154"
"7491800","17/06/2015 10:03:14 AM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.2443279566"
"7513113","24/06/2015 10:29:17 AM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.2584413114"
"7530433","29/06/2015 03:04:06 PM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.2419725897"
"7562085","09/07/2015 12:46:21 PM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2540544613"
"7614380","28/07/2015 06:32:29 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2574881089"
"7633697","03/08/2015 09:41:51 AM","VIB2030195","CORD","SRM26D","Vitamin B2","MG_P_100G","0.2619149864"
"7660342","11/08/2015 11:47:25 AM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2460312876"
"7682223","18/08/2015 09:06:23 AM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2552435544"
"7686133","19/08/2015 08:39:45 AM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2462051323"
"7701499","24/08/2015 06:41:19 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2497334627"
"7705692","25/08/2015 09:47:02 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2555628815"
"7734610","02/09/2015 12:21:46 PM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.25"
"7751550","07/09/2015 03:16:42 PM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2372768785"
"7760005","09/09/2015 04:08:31 PM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2460664611"
"7776275","15/09/2015 06:45:00 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2552525815"
"7785581","17/09/2015 09:26:00 AM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2224884884"
"7801619","22/09/2015 06:37:26 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2394764727"
"7824069","28/09/2015 11:41:23 AM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2466830122"
"7843774","04/10/2015 07:29:55 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.25"
"7857691","08/10/2015 08:09:41 AM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2519148359"
"7874987","13/10/2015 07:55:58 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2767605173"
"7889245","16/10/2015 08:02:39 AM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.269628621"
"7904971","21/10/2015 08:30:48 AM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2439886305"
"7914125","23/10/2015 09:43:14 AM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2358125828"
"7927986","27/10/2015 11:44:21 AM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2476839474"
"7940618","30/10/2015 09:21:32 AM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.240318098"
"7949156","02/11/2015 08:31:02 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2457207066"
"7955523","04/11/2015 08:28:49 AM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2436554633"
"7976455","10/11/2015 08:50:40 AM","VIB2030195","NGILL","SRM26D","Vitamin B2","MG_P_100G","0.2463543727"
"7987554","12/11/2015 01:19:04 PM","VIB2030195","NGILL","SRM26D","Vitamin B2","MG_P_100G","0.2529707192"
"8002764","17/11/2015 06:41:31 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2389266307"
"8013675","19/11/2015 08:13:15 AM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.245401832"
"8028708","23/11/2015 12:57:54 PM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2398381195"
"8038331","25/11/2015 01:38:26 PM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2362251406"
"8055514","30/11/2015 02:10:54 PM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2404899061"
"8069229","03/12/2015 12:59:40 PM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2312530313"
"8088408","09/12/2015 07:51:40 AM","VIB2030195","NGILL","SRM26D","Vitamin B2","MG_P_100G","0.2362474257"
"8105323","13/12/2015 07:06:12 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2467545076"
"8119054","16/12/2015 01:43:35 PM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2530295249"
"8136653","21/12/2015 02:26:25 PM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.26"
"8148959","24/12/2015 09:25:05 AM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.24"
"8160215","29/12/2015 02:45:01 PM","VIB2030195","CTAN","SRM26D","Vitamin B2","MG_P_100G","0.2616146155"
"8164473","31/12/2015 07:44:50 AM","VIB2030195","NGILL","SRM26D","Vitamin B2","MG_P_100G","0.2175790248"
"8173815","04/01/2016 03:24:17 PM","VIB2030195","TLAU","SRM26D","Vitamin B2","MG_P_100G","0.244979125"
"8177330","05/01/2016 01:23:31 PM","VIB2030195","TLAU","SRM26D","Vitamin B2","MG_P_100G","0.237768478"
"8181634","06/01/2016 01:02:05 PM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.258679911"
"8197400","11/01/2016 01:19:17 PM","VIB2030195","TLAU","SRM26D","Vitamin B2","MG_P_100G","0.2359023888"
"8205767","13/01/2016 01:24:41 PM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.2470730429"
"8222974","18/01/2016 01:33:44 PM","VIB2030195","AHUGHES","SRM26D","Vitamin B2","MG_P_100G","0.2535173744"
"8242074","22/01/2016 01:26:53 PM","VIB2030195","TLAU","SRM26D","Vitamin B2","MG_P_100G","0.24"
"8257858","28/01/2016 09:24:23 AM","VIB2030195","NGILL","SRM26D","Vitamin B2","MG_P_100G","0.2289394478"
"8279409","03/02/2016 08:33:59 AM","VIB2030195","MRODERICK","SRM26D","Vitamin B2","MG_P_100G","0.233904413"
"8290628","05/02/2016 01:22:52 PM","VIB2030195","TLAU","SRM26D","Vitamin B2","MG_P_100G","0.2374728901"
"8303060","09/02/2016 01:23:33 PM","VIB2030195","TLAU","SRM26D","Vitamin B2","MG_P_100G","0.2313496702"
"8318236","12/02/2016 04:05:50 PM","VIB2030195","JTANIWAN","SRM26D","Vitamin B2","MG_P_100G","0.24"
"8331049","17/02/2016 08:32:14 AM","VIB2030195","NGILL","SRM26D","Vitamin B2","MG_P_100G","0.2405406477"
"8350106","22/02/2016 10:11:30 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2368017671"
"8375747","29/02/2016 07:14:22 AM","VIB2030195","RREDDY","SRM26D","Vitamin B2","MG_P_100G","0.2631497696"
