SAMPLE_NUMBER,LOGIN_DATE,ANALYSIS,ASSIGNED_OPERATOR,SAMPLING_POINT,REPORTED_NAME,REPORTED_UNITS,ENTRY
5822867,31/12/13 8:12,VITB011208,JHOU,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.644594195
5822868,31/12/13 8:12,VITB011208,JHOU,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.642327303
5829263,3/01/14 8:26,VITB011208,JHOU,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.678626705
5829264,3/01/14 8:26,VITB011208,JHOU,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.706402234
5837554,7/01/14 8:00,VITB011208,KNG,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.70902783
5841372,8/01/14 8:43,VITB011208,JHOU,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.760290403
5841381,8/01/14 8:45,VITB011208,JHOU,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.758766831
5846658,9/01/14 12:38,VITB011208,CCULL,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.65345263
5846659,9/01/14 12:39,VITB011208,CCULL,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.655895269
5855102,13/01/14 7:50,VITB011208,JHOU,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.707851495
5855104,13/01/14 7:50,VITB011208,JHOU,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.696129482
5858458,14/01/14 7:52,VITB011208,KNG,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.660669036
5862524,15/01/14 9:00,VITB011208,DANG,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.679079129
5862531,15/01/14 9:00,VITB011208,DANG,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.71416209
5866264,16/01/14 8:03,VITB011208,KNG,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.71802644
5874544,18/01/14 8:19,VITB011208,CCULL,IRM001A,Vitamin B6 (Pyridoxine),MG_P_100G,0.725801911
