"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY"
"6718888","22/10/2014 06:25:03 PM","VITD010494","HWAIDYARAT","IRM001A","Vitamin D","IU_P_100G","429"
"6758308","03/11/2014 03:00:31 PM","VITD010494","JKUSUMA","IRM001A","Vitamin D","IU_P_100G","471"
"6768736","06/11/2014 01:26:14 PM","VITD010494","JKUSUMA","IRM001A","Vitamin D","IU_P_100G","487"
"6732769","27/10/2014 11:17:16 AM","VITD010494","JTANIWAN","IRM001A","Vitamin D","IU_P_100G","416"
"6746699","30/10/2014 12:55:27 PM","VITD010494","JTANIWAN","IRM001A","Vitamin D","IU_P_100G","437"
"6778772","10/11/2014 11:13:49 AM","VITD010494","JTANIWAN","IRM001A","Vitamin D","IU_P_100G","434"
"6734740","27/10/2014 04:48:44 PM","VITD010494","MDITIATKOV","IRM001A","Vitamin D","IU_P_100G","430"
"6742959","29/10/2014 03:36:06 PM","VITD010494","MDITIATKOV","IRM001A","Vitamin D","IU_P_100G","425"
"6751249","31/10/2014 01:42:22 PM","VITD010494","MDITIATKOV","IRM001A","Vitamin D","IU_P_100G","448"
"6762744","05/11/2014 09:12:44 AM","VITD010494","MDITIATKOV","IRM001A","Vitamin D","IU_P_100G","453"
"6719280","23/10/2014 07:13:01 AM","VITD010494","NCHOI","IRM001A","Vitamin D","IU_P_100G","429"
"6730235","26/10/2014 07:23:47 AM","VITD010494","RREDDY","IRM001A","Vitamin D","IU_P_100G","541"
"6783621","11/11/2014 01:14:13 PM","VITD010494","JKUSUMA","IRM001A","Vitamin D","IU_P_100G","416"
"6785718","12/11/2014 07:20:51 AM","VITD010494","NCHOI","IRM001A","Vitamin D","IU_P_100G","394.84105359"
"6984398","13/01/2015 09:21:04 AM","VITD010494","CORD","IRM001A","Vitamin D","IU_P_100G","436.31478587"
"6980736","12/01/2015 07:12:50 AM","VITD010494","KANPATEL","IRM001A","Vitamin D","IU_P_100G","0.027354027"
"6988355","14/01/2015 08:11:14 AM","VITD010494","KANPATEL","IRM001A","Vitamin D","IU_P_100G","405.87013401"
"6996203","16/01/2015 07:25:41 AM","VITD010494","KANPATEL","IRM001A","Vitamin D","IU_P_100G","501.79552407"
"6982357","12/01/2015 01:18:57 PM","VITD010494","MCHIN","IRM001A","Vitamin D","IU_P_100G","468.35085271"
"6978189","10/01/2015 08:25:50 AM","VITD010494","MCHIN","IRM001A","Vitamin D","IU_P_100G","471.74238656"
"7027682","27/01/2015 08:42:20 AM","VITD010494","CORD","IRM001A","Vitamin D","IU_P_100G","453.80086351"
"7032187","28/01/2015 10:30:14 AM","VITD010494","CORD","IRM001A","Vitamin D","IU_P_100G","400.68903123"
"7042861","30/01/2015 04:49:34 PM","VITD010494","HWAIDYARAT","IRM001A","Vitamin D","IU_P_100G","530.56567771"
"7019080","23/01/2015 07:10:43 AM","VITD010494","KANPATEL","IRM001A","Vitamin D","IU_P_100G","455.04108573"
"7052231","03/02/2015 12:42:10 PM","VITD010494","JTANIWAN","IRM001A","Vitamin D","IU_P_100G","479.51108622"
"7043551","31/01/2015 09:30:11 AM","VITD010494","JTANIWAN","IRM001A","Vitamin D","IU_P_100G","459.438808"
"7048417","02/02/2015 01:04:26 PM","VITD010494","JTANIWAN","IRM001A","Vitamin D","IU_P_100G","517.2334391"
"7058295","05/02/2015 07:14:24 AM","VITD010494","KANPATEL","IRM001A","Vitamin D","IU_P_100G","437.89914576"
"7001889","18/01/2015 07:11:43 AM","VITD010494","RREDDY","IRM001A","Vitamin D","IU_P_100G","499.63335485"
"7008207","20/01/2015 12:00:19 PM","VITD010494","VTALLO","IRM001A","Vitamin D","IU_P_100G","559.37233821"
"7011425","21/01/2015 09:08:02 AM","VITD010494","VTALLO","IRM001A","Vitamin D","IU_P_100G","464.93263912"
"7037013","29/01/2015 11:54:57 AM","VITD010494","VTALLO","IRM001A","Vitamin D","IU_P_100G","533.5921418"
"6390556","11/07/2014 01:09:44 PM","VITD010494","HWAIDYARAT","IRM001A","Vitamin D","IU_P_100G","120.32767755"
"6417909","22/07/2014 03:55:29 PM","VITD010494","HWAIDYARAT","IRM001A","Vitamin D","IU_P_100G","437"
"6457846","05/08/2014 01:29:35 PM","VITD010494","HWAIDYARAT","IRM001A","Vitamin D","IU_P_100G","434.48507308"
"6458751","05/08/2014 04:22:16 PM","VITD010494","HWAIDYARAT","IRM001A","Vitamin D","IU_P_100G","465.31727544"
"6465308","07/08/2014 01:09:22 PM","VITD010494","HWAIDYARAT","IRM001A","Vitamin D","IU_P_100G","466.2031854"
"6428180","25/07/2014 01:30:55 PM","VITD010494","JHOU","IRM001A","Vitamin D","IU_P_100G","446.24796062"
"6445292","31/07/2014 01:18:03 PM","VITD010494","JHOU","IRM001A","Vitamin D","IU_P_100G","452.74863404"
"6481733","13/08/2014 12:00:03 PM","VITD010494","JHOU","IRM001A","Vitamin D","IU_P_100G","444"
"6490325","15/08/2014 11:32:17 AM","VITD010494","JHOU","IRM001A","Vitamin D","IU_P_100G","446"
"6433877","28/07/2014 01:07:04 PM","VITD010494","JKUSUMA","IRM001A","Vitamin D","IU_P_100G","432.26256538"
"6401049","16/07/2014 11:38:35 AM","VITD010494","JTANIWAN","IRM001A","Vitamin D","IU_P_100G","458"
