SAMPLE_NUMBER,LOGIN_DATE,ANALYSIS,ASSIGNED_OPERATOR,SAMPLING_POINT,REPORTED_NAME,REPORTED_UNITS,ENTRY
5103192,20/05/13 9:31,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,10.77475504
5106138,21/05/13 8:48,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,12.40254027
5110187,22/05/13 8:45,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,11.76704432
5113939,23/05/13 8:22,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,9.897090022
5121052,24/05/13 17:18,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,12.43498112
5124227,27/05/13 8:37,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,10.44664494
5127036,28/05/13 8:34,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,10.87081952
5130615,29/05/13 9:07,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,10.21981685
5134208,30/05/13 8:26,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,9.998064289
5140408,31/05/13 16:24,VITD010494,SHUI,IRM001,Vitamin D,IU_P_100G,9.702959147
5143471,3/06/13 8:15,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,8.720021446
5146888,4/06/13 9:26,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,7.094790339
5148427,4/06/13 13:34,VITD010494,MDISS,IRM001,Vitamin D,IU_P_100G,12.46609192
5151914,5/06/13 12:17,VITD010494,SHUI,IRM001,Vitamin D,IU_P_100G,11.04105001
5155266,6/06/13 11:41,VITD010494,MDISS,IRM001,Vitamin D,IU_P_100G,10.17229788
5162194,8/06/13 8:56,VITD010494,SHUI,IRM001,Vitamin D,IU_P_100G,10.76917846
5166770,11/06/13 12:14,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,11.80064787
5170109,12/06/13 11:22,VITD010494,CTAN,IRM001,Vitamin D,IU_P_100G,10.0098042
