"SAMPLE_NUMBER","LOGIN_DATE","PRODUCT","PRODUCT_GRADE","X_CLIENT_CODE","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","DATE_STARTED","REPLICATE_COUNT","ORIGINAL_SAMPLE","TEXT_ID","REPORTABLE","DESCRIPTION","STATUS","CUSTOMER","PROJECT"
9437864,"01/01/2017 07:43:11 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.588549248,2017-01-01 15:00:00,1,9437864,"QC-IRM001A-9437864",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9438765,"02/01/2017 07:44:16 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.431777123,2017-01-02 09:00:00,1,9438765,"QC-IRM001A-9438765",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9438767,"02/01/2017 07:46:24 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.428187146,2017-01-02 09:00:00,1,9438767,"QC-IRM001A-9438767",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9438963,"02/01/2017 09:48:10 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.460302368,2017-01-02 12:00:00,1,9438963,"QC-IRM001A-9438963",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439690,"03/01/2017 06:52:28 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.777777778,2017-01-03 14:00:00,1,9439690,"QC-IRM001A-9439690",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439697,"03/01/2017 06:54:51 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.665304606,2017-01-03 14:00:00,1,9439697,"QC-IRM001A-9439697",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439698,"03/01/2017 06:55:23 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.482427482,2017-01-03 14:00:00,1,9439698,"QC-IRM001A-9439698",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439702,"03/01/2017 06:59:47 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.100184192,2017-01-03 08:00:00,1,9439702,"QC-IRM001A-9439702",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439711,"03/01/2017 07:08:26 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.349340118,2017-01-03 08:00:00,1,9439711,"QC-IRM001A-9439711",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439841,"03/01/2017 07:47:55 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.311912226,2017-01-03 08:00:00,1,9439841,"QC-IRM001A-9439841",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439907,"03/01/2017 08:21:25 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.496328928,2017-01-03 16:00:00,1,9439907,"QC-IRM001A-9439907",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439938,"03/01/2017 08:40:21 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.014617691,2017-01-03 16:00:00,1,9439938,"QC-IRM001A-9439938",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439948,"03/01/2017 08:42:42 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.393486175,2017-01-03 16:00:00,1,9439948,"QC-IRM001A-9439948",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9439953,"03/01/2017 08:43:09 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.133602479,2017-01-03 16:00:00,1,9439953,"QC-IRM001A-9439953",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9440019,"03/01/2017 08:52:21 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.643661838,2017-01-03 16:00:00,1,9440019,"QC-IRM001A-9440019",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9440022,"03/01/2017 08:52:43 AM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.419511721,2017-01-03 16:00:00,1,9440022,"QC-IRM001A-9440022",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9441426,"03/01/2017 01:07:18 PM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.5031199,2017-01-03 21:00:00,1,9441426,"QC-IRM001A-9441426",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
9441442,"03/01/2017 01:10:25 PM","QC","SRM",NA,"FATS011299","Fat","G_P_100G",27.315495443,2017-01-03 21:00:00,1,9441442,"QC-IRM001A-9441442",TRUE,"In house standard reference material (batch analysis)","E",NA,NA
