"","SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","UNITS","ENTRY","REPORTABLE","NAME","RAW_ENTRY","z_score"
"1",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Iron","MG_P_KG",87.029487047,"T","MICP01-20-0238",87.029487047,-0.25548002367889
"2",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Zinc","MG_P_KG",37.406140502,"T","MICP01-20-0238",37.406140502,-0.368726188449853
"3",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Calcium","PCT_M-M",0.7010766513,"T","MICP01-20-0238",0.7010766513,0.189853667779418
"4",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Magnesium","PCT_M-M",0.06766747737,"T","MICP01-20-0238",0.06766747737,0.0574713660711458
"5",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Sodium","PCT_M-M",0.1808267163,"T","MICP01-20-0238",0.1808267163,0.327198403376866
"6",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Potassium","PCT_M-M",0.6786762684,"T","MICP01-20-0238",0.6786762684,-0.377667376510351
"7",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Phosphorus","PCT_M-M",0.4309600162,"T","MICP01-20-0238",0.4309600162,-1.39132929893417
"8",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Iron","MG_P_KG",NA,"T","MICP01-20-0240",93.80395201,3.15485200569567
"9",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Zinc","MG_P_KG",37.134172093,"T","MICP01-20-0240",37.134172093,-0.728317473736268
"10",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Copper","MG_P_KG",0.3001977225,"T","MICP01-20-0240",0.3001977225,1.1711476980849
"11",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Manganese","MG_P_KG",0.5303335778,"T","MICP01-20-0240",0.5303335778,1.20800325177426
"12",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Calcium","PCT_M-M",0.6957203731,"T","MICP01-20-0240",0.6957203731,-0.161592528366136
"13",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Magnesium","PCT_M-M",0.06870477666,"T","MICP01-20-0240",0.06870477666,0.814103448089976
"14",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Sodium","PCT_M-M",0.1828086856,"T","MICP01-20-0240",0.1828086856,0.711273234391184
"15",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Potassium","PCT_M-M",0.6921245695,"T","MICP01-20-0240",0.6921245695,0.469857773672375
"16",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Phosphorus","PCT_M-M",0.4714414874,"T","MICP01-20-0240",0.4714414874,0.235964981787252
"17",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Iron","MG_P_KG",87.319105173,"T","MICP01-20-0241",87.319105173,-0.109683421765723
"18",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Zinc","MG_P_KG",37.408579463,"T","MICP01-20-0241",37.408579463,-0.365501442149431
"19",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Copper","MG_P_KG",0.2006496226,"T","MICP01-20-0241",0.2006496226,-0.655691757593834
"20",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Manganese","MG_P_KG",0.4899100121,"T","MICP01-20-0241",0.4899100121,-0.761616676880062
"21",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Calcium","PCT_M-M",0.6968927407,"T","MICP01-20-0241",0.6968927407,-0.0846689411065573
"22",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Magnesium","PCT_M-M",0.0669971619,"T","MICP01-20-0241",0.0669971619,-0.431473526270907
"23",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Sodium","PCT_M-M",0.1793590387,"T","MICP01-20-0241",0.1793590387,0.0427853066636626
"24",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Potassium","PCT_M-M",0.6784863481,"T","MICP01-20-0241",0.6784863481,-0.389636340439946
"25",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Phosphorus","PCT_M-M",0.4651252333,"T","MICP01-20-0241",0.4651252333,-0.0179389369150232
"26",13933031,2020-04-01 14:43:29,"MICP010406",NA,"IRM001B_CL","Iron","MG_P_KG",89.711146188,"T","MICP01-20-0242",89.711146188,1.09449345915206
"27",13933031,2020-04-01 14:43:29,"MICP010406",NA,"IRM001B_CL","Manganese","MG_P_KG",0.5415700311,"T","MICP01-20-0242",0.5415700311,1.75549434920294
