"","SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","UNITS","ENTRY","REPORTABLE","NAME","RAW_ENTRY","z_score","z_group"
"1",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Iron","MG_P_KG",87.029487047,"T","MICP01-20-0238",87.029487047,-0.17860817749913,"-2 to 2"
"2",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Zinc","MG_P_KG",37.406140502,"T","MICP01-20-0238",37.406140502,-0.383787043473136,"-2 to 2"
"3",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Calcium","PCT_M-M",0.7010766513,"T","MICP01-20-0238",0.7010766513,0.162741313144318,"-2 to 2"
"4",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Magnesium","PCT_M-M",0.06766747737,"T","MICP01-20-0238",0.06766747737,0.0439207587065468,"-2 to 2"
"5",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Sodium","PCT_M-M",0.1808267163,"T","MICP01-20-0238",0.1808267163,0.262262981005767,"-2 to 2"
"6",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Potassium","PCT_M-M",0.6786762684,"T","MICP01-20-0238",0.6786762684,-0.352589090384067,"-2 to 2"
"7",13930092,2020-04-01 05:32:46,"MICP010406","SLOUYEH","IRM001B_CL","Phosphorus","PCT_M-M",0.4309600162,"T","MICP01-20-0238",0.4309600162,-1.34475827735061,"-2 to 2"
"8",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Zinc","MG_P_KG",37.134172093,"T","MICP01-20-0240",37.134172093,-0.738445896653133,"-2 to 2"
"9",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Copper","MG_P_KG",0.3001977225,"T","MICP01-20-0240",0.3001977225,1.13366916880559,"-2 to 2"
"10",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Manganese","MG_P_KG",0.5303335778,"T","MICP01-20-0240",0.5303335778,1.23252253803953,"-2 to 2"
"11",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Calcium","PCT_M-M",0.6957203731,"T","MICP01-20-0240",0.6957203731,-0.184153420260674,"-2 to 2"
"12",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Magnesium","PCT_M-M",0.06870477666,"T","MICP01-20-0240",0.06870477666,0.79534584640505,"-2 to 2"
"13",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Sodium","PCT_M-M",0.1828086856,"T","MICP01-20-0240",0.1828086856,0.663328226694209,"-2 to 2"
"14",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Potassium","PCT_M-M",0.6921245695,"T","MICP01-20-0240",0.6921245695,0.474508398825969,"-2 to 2"
"15",13930123,2020-04-01 05:45:55,"MICP010406","YYU","IRM001B_CL","Phosphorus","PCT_M-M",0.4714414874,"T","MICP01-20-0240",0.4714414874,0.264847419133074,"-2 to 2"
"16",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Iron","MG_P_KG",87.319105173,"T","MICP01-20-0241",87.319105173,-0.0353354863149824,"-2 to 2"
"17",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Zinc","MG_P_KG",37.408579463,"T","MICP01-20-0241",37.408579463,-0.380606530286357,"-2 to 2"
"18",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Copper","MG_P_KG",0.2006496226,"T","MICP01-20-0241",0.2006496226,-0.667002235473598,"-2 to 2"
"19",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Manganese","MG_P_KG",0.4899100121,"T","MICP01-20-0241",0.4899100121,-0.719943793685876,"-2 to 2"
"20",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Calcium","PCT_M-M",0.6968927407,"T","MICP01-20-0241",0.6968927407,-0.108226044782934,"-2 to 2"
"21",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Magnesium","PCT_M-M",0.0669971619,"T","MICP01-20-0241",0.0669971619,-0.441659310311355,"-2 to 2"
"22",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Sodium","PCT_M-M",0.1793590387,"T","MICP01-20-0241",0.1793590387,-0.0347317692335136,"-2 to 2"
"23",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Potassium","PCT_M-M",0.6784863481,"T","MICP01-20-0241",0.6784863481,-0.364269569733239,"-2 to 2"
"24",13930169,2020-04-01 06:12:27,"MICP010406","CYCHUNG","IRM001B_CL","Phosphorus","PCT_M-M",0.4651252333,"T","MICP01-20-0241",0.4651252333,0.0137034197075181,"-2 to 2"
"25",13935571,2020-04-02 05:51:18,"MICP010406","YYU","IRM001B_CL","Iron","MG_P_KG",89.657342065,"T","MICP01-20-0243",89.657342065,1.12137903556168,"-2 to 2"
"26",13935571,2020-04-02 05:51:18,"MICP010406","YYU","IRM001B_CL","Zinc","MG_P_KG",38.505586715,"T","MICP01-20-0243",38.505586715,1.04993952230483,"-2 to 2"
"27",13935571,2020-04-02 05:51:18,"MICP010406","YYU","IRM001B_CL","Copper","MG_P_KG",0.2820980852,"T","MICP01-20-0243",0.2820980852,0.806274679642321,"-2 to 2"
"28",13935571,2020-04-02 05:51:18,"MICP010406","YYU","IRM001B_CL","Manganese","MG_P_KG",0.4920424227,"T","MICP01-20-0243",0.4920424227,-0.616947933973423,"-2 to 2"
"29",13935571,2020-04-02 05:51:18,"MICP010406","YYU","IRM001B_CL","Calcium","PCT_M-M",0.7087952045,"T","MICP01-20-0243",0.7087952045,0.662626747509225,"-2 to 2"
"30",13935571,2020-04-02 05:51:18,"MICP010406","YYU","IRM001B_CL","Magnesium","PCT_M-M",0.06767807918,"T","MICP01-20-0243",0.06767807918,0.0516007659000448,"-2 to 2"
"31",13935571,2020-04-02 05:51:18,"MICP010406","YYU","IRM001B_CL","Sodium","PCT_M-M",0.1810560905,"T","MICP01-20-0243",0.1810560905,0.308678442576028,"-2 to 2"
"32",13935571,2020-04-02 05:51:18,"MICP010406","YYU","IRM001B_CL","Potassium","PCT_M-M",0.6853629258,"T","MICP01-20-0243",0.6853629258,0.0586537503006752,"-2 to 2"
"33",13935571,2020-04-02 05:51:18,"MICP010406","YYU","IRM001B_CL","Phosphorus","PCT_M-M",0.4394816619,"T","MICP01-20-0243",0.4394816619,-1.00592450833147,"-2 to 2"
"34",13935875,2020-04-02 07:28:45,"MICP010406","SLOUYEH","IRM001B_CL","Iron","MG_P_KG",89.211481379,"T","MICP01-20-0244",89.211481379,0.900813902920673,"-2 to 2"
